NR_CERTIFICADO;DT_PROTOCOLO
1143952673117;2025-03-27
1143953043108;2025-03-27
1143953183109;2025-03-27
1143953203117;2025-03-27
1143953473108;2025-03-28
1143953633109;2025-03-27
1143953653108;2025-03-27
1143953753111;2025-03-31
1143953853117;2025-03-27
1143953853109;2025-03-27
1143953983108;2025-03-27
1143954033117;2025-04-01
1143954343111;2025-03-27
1143954433114;2025-03-27
1143954503109;2025-03-27
1143954553109;2025-03-27
1143954843109;2025-03-27
1143954863109;2025-05-05
1143954883109;2025-03-27
1143954903117;2025-04-10
1143955053114;2025-03-29
1143955183109;2025-03-27
1143955293114;2025-03-27
1143955323108;2025-03-27
1143955333117;2025-04-09
1143955343111;2025-03-27
1143955363111;2025-06-25
1143955383117;2025-03-27
1143955663114;2025-03-27
1143955833117;2025-03-27
1143955893114;2025-03-27
1143955913112;2025-03-31
1143955923114;2025-04-23
1143955993117;2025-03-27
1143956013117;2025-03-27
1143956063108;2025-03-28
1143956103108;2025-03-27
1143956113109;2025-03-28
1143956173117;2025-03-27
1143956283114;2025-03-28
1143956393111;2025-04-10
1143956403111;2025-05-08
1143956803108;2025-05-12
1143956843108;2025-05-15
1143956933109;2025-05-06
1143957043117;2025-05-27
1143957043108;2025-05-27
1143957153111;2025-05-13
1143957303111;2025-05-15
1143957493109;2025-05-28
1143957903117;2025-06-05
1143957903111;2025-06-05
1143958073114;2025-06-06
1143958203109;2025-06-10
1143958243108;2025-06-11
1143958293109;2025-06-12
1143958303112;2025-06-12
1143958343108;2025-06-12
1143958373112;2025-06-12
1143958433114;2025-06-27
1143958683114;2025-06-30
1143959013117;2025-07-18
1143959013108;2025-07-18
1143959043108;2025-07-08
1143959343109;2025-07-22
1143959363117;2025-07-29
1143959473108;2025-07-25
1143959473117;2025-07-25
1143959483109;2025-07-28
1143959673108;2025-08-08
1143959703114;2025-08-08
1143959823108;2025-08-13
1143960073108;2025-08-29
1143960073117;2025-08-29
1143960143114;2025-08-22
1143960463109;2025-08-29
1143960503108;2025-09-02
1143960643114;2025-09-04
1143960673109;2025-09-08
1143960713114;2025-09-09
1143960783111;2025-09-11
1143960793108;2025-09-10
1143960863111;2025-09-12
1143960873109;2025-09-12
1143960883109;2025-09-12
1143960913117;2025-09-12
1143960913111;2025-09-12
1143960993114;2025-09-24
1143961013111;2025-09-23
1143961023111;2025-09-23
1143961143108;2025-09-26
1143961633114;2025-10-10
1143961723109;2025-10-15
1143961773111;2025-10-21
1143961793109;2025-10-21
1143961843109;2025-10-22
1143961893108;2025-10-22
1143961943108;2025-10-23
1143962023108;2025-10-24
1143962023111;2025-10-24
1143962183108;2025-11-17
1143962203108;2025-10-31
1143962273114;2025-10-31
1143962293114;2025-10-31
1143962383114;2025-11-04
1143962493108;2025-11-05
1143962563109;2025-11-06
1143962573109;2025-11-06
1143962643114;2025-11-27
1143962773117;2025-11-14
1143962833109;2025-11-12
1143962903117;2025-11-12
1143963113114;2025-11-17
1143963203108;2025-11-26
1143963213112;2025-11-19
1143963253109;2025-11-21
1143963343108;2025-11-25
1143963463111;2025-12-10
1143963503109;2025-11-28
1143963523108;2025-12-02
1143963713111;2025-12-10
1143963723117;2025-12-05
1143963783108;2025-12-09
1143963863108;2025-12-11
1143963913109;2025-12-15
1143964063115;2025-12-19
1144036753115;2025-03-27
1144036793111;2025-03-31
1144036923117;2025-03-27
1144036973114;2025-03-28
1144036993108;2025-03-28
1144037033117;2025-03-28
1144037143111;2025-03-28
1144037223112;2025-12-16
1144037253114;2025-04-01
1144037293108;2025-03-28
1144037313108;2025-03-28
1144037393114;2025-04-28
1144037483114;2025-05-09
1144037553111;2025-03-28
1144037673108;2025-03-28
1144037893109;2025-03-28
1144037933108;2025-03-28
1144037973114;2025-03-28
1144037983117;2025-03-28
1144038023108;2025-03-28
1144038293114;2025-03-28
1144038293117;2025-03-28
1144038323109;2025-03-28
1144038393111;2025-03-28
1144038423108;2025-03-28
1144038433108;2025-03-28
1144038473108;2025-03-28
1144038523114;2025-04-01
1144038663117;2025-03-31
1144038833114;2025-03-28
1144038853117;2025-03-28
1144038923117;2025-03-28
1144038963109;2025-03-28
1144039013117;2025-03-28
1144039083114;2025-03-28
1144039103114;2025-03-28
1144039113108;2025-03-28
1144039143117;2025-04-01
1144039153117;2025-03-28
1144039283108;2025-03-28
1144039303117;2025-03-28
1144039383117;2025-03-28
1144039433109;2025-03-28
1144039553117;2025-04-28
